,0,1
0,"Imports of all grades of crude oil from OPEC to refineries in Alaska, Annual",PET_IMPORTS.OPN_Y-RS_AK-ALL.A
1,"Imports of all grades of crude oil from OPEC to refineries in Alaska, Monthly",PET_IMPORTS.OPN_Y-RS_AK-ALL.M
2,"Imports of light sweet crude oil from OPEC to refineries in Alaska, Annual",PET_IMPORTS.OPN_Y-RS_AK-LSW.A
3,"Imports of light sweet crude oil from OPEC to refineries in Alaska, Monthly",PET_IMPORTS.OPN_Y-RS_AK-LSW.M
4,"Imports of all grades of crude oil from OPEC to refineries in Alabama, Annual",PET_IMPORTS.OPN_Y-RS_AL-ALL.A
5,"Imports of all grades of crude oil from OPEC to refineries in Alabama, Monthly",PET_IMPORTS.OPN_Y-RS_AL-ALL.M
6,"Imports of heavy sour crude oil from OPEC to refineries in Alabama, Annual",PET_IMPORTS.OPN_Y-RS_AL-HSO.A
7,"Imports of heavy sour crude oil from OPEC to refineries in Alabama, Monthly",PET_IMPORTS.OPN_Y-RS_AL-HSO.M
8,"Imports of light sweet crude oil from OPEC to refineries in Alabama, Annual",PET_IMPORTS.OPN_Y-RS_AL-LSW.A
9,"Imports of light sweet crude oil from OPEC to refineries in Alabama, Monthly",PET_IMPORTS.OPN_Y-RS_AL-LSW.M
10,"Imports of medium crude oil from OPEC to refineries in Alabama, Annual",PET_IMPORTS.OPN_Y-RS_AL-MED.A
11,"Imports of medium crude oil from OPEC to refineries in Alabama, Monthly",PET_IMPORTS.OPN_Y-RS_AL-MED.M
12,"Imports of all grades of crude oil from OPEC to refineries in Arkansas, Annual",PET_IMPORTS.OPN_Y-RS_AR-ALL.A
13,"Imports of all grades of crude oil from OPEC to refineries in Arkansas, Monthly",PET_IMPORTS.OPN_Y-RS_AR-ALL.M
14,"Imports of light sour crude oil from OPEC to refineries in Arkansas, Annual",PET_IMPORTS.OPN_Y-RS_AR-LSO.A
15,"Imports of light sour crude oil from OPEC to refineries in Arkansas, Monthly",PET_IMPORTS.OPN_Y-RS_AR-LSO.M
16,"Imports of medium crude oil from OPEC to refineries in Arkansas, Annual",PET_IMPORTS.OPN_Y-RS_AR-MED.A
17,"Imports of medium crude oil from OPEC to refineries in Arkansas, Monthly",PET_IMPORTS.OPN_Y-RS_AR-MED.M
18,"Imports of all grades of crude oil from OPEC to refineries in California, Annual",PET_IMPORTS.OPN_Y-RS_CA-ALL.A
19,"Imports of all grades of crude oil from OPEC to refineries in California, Monthly",PET_IMPORTS.OPN_Y-RS_CA-ALL.M
20,"Imports of heavy sour crude oil from OPEC to refineries in California, Annual",PET_IMPORTS.OPN_Y-RS_CA-HSO.A
21,"Imports of heavy sour crude oil from OPEC to refineries in California, Monthly",PET_IMPORTS.OPN_Y-RS_CA-HSO.M
22,"Imports of heavy sweet crude oil from OPEC to refineries in California, Annual",PET_IMPORTS.OPN_Y-RS_CA-HSW.A
23,"Imports of heavy sweet crude oil from OPEC to refineries in California, Monthly",PET_IMPORTS.OPN_Y-RS_CA-HSW.M
24,"Imports of light sour crude oil from OPEC to refineries in California, Annual",PET_IMPORTS.OPN_Y-RS_CA-LSO.A
25,"Imports of light sour crude oil from OPEC to refineries in California, Monthly",PET_IMPORTS.OPN_Y-RS_CA-LSO.M
26,"Imports of light sweet crude oil from OPEC to refineries in California, Annual",PET_IMPORTS.OPN_Y-RS_CA-LSW.A
27,"Imports of light sweet crude oil from OPEC to refineries in California, Monthly",PET_IMPORTS.OPN_Y-RS_CA-LSW.M
28,"Imports of medium crude oil from OPEC to refineries in California, Annual",PET_IMPORTS.OPN_Y-RS_CA-MED.A
29,"Imports of medium crude oil from OPEC to refineries in California, Monthly",PET_IMPORTS.OPN_Y-RS_CA-MED.M
30,"Imports of all grades of crude oil from OPEC to refineries in Delaware, Annual",PET_IMPORTS.OPN_Y-RS_DE-ALL.A
31,"Imports of all grades of crude oil from OPEC to refineries in Delaware, Monthly",PET_IMPORTS.OPN_Y-RS_DE-ALL.M
32,"Imports of heavy sour crude oil from OPEC to refineries in Delaware, Annual",PET_IMPORTS.OPN_Y-RS_DE-HSO.A
33,"Imports of heavy sour crude oil from OPEC to refineries in Delaware, Monthly",PET_IMPORTS.OPN_Y-RS_DE-HSO.M
34,"Imports of heavy sweet crude oil from OPEC to refineries in Delaware, Annual",PET_IMPORTS.OPN_Y-RS_DE-HSW.A
35,"Imports of heavy sweet crude oil from OPEC to refineries in Delaware, Monthly",PET_IMPORTS.OPN_Y-RS_DE-HSW.M
36,"Imports of light sour crude oil from OPEC to refineries in Delaware, Annual",PET_IMPORTS.OPN_Y-RS_DE-LSO.A
37,"Imports of light sour crude oil from OPEC to refineries in Delaware, Monthly",PET_IMPORTS.OPN_Y-RS_DE-LSO.M
38,"Imports of light sweet crude oil from OPEC to refineries in Delaware, Annual",PET_IMPORTS.OPN_Y-RS_DE-LSW.A
39,"Imports of light sweet crude oil from OPEC to refineries in Delaware, Monthly",PET_IMPORTS.OPN_Y-RS_DE-LSW.M
40,"Imports of medium crude oil from OPEC to refineries in Delaware, Annual",PET_IMPORTS.OPN_Y-RS_DE-MED.A
41,"Imports of medium crude oil from OPEC to refineries in Delaware, Monthly",PET_IMPORTS.OPN_Y-RS_DE-MED.M
42,"Imports of all grades of crude oil from OPEC to refineries in Florida, Annual",PET_IMPORTS.OPN_Y-RS_FL-ALL.A
43,"Imports of all grades of crude oil from OPEC to refineries in Florida, Monthly",PET_IMPORTS.OPN_Y-RS_FL-ALL.M
44,"Imports of heavy sour crude oil from OPEC to refineries in Florida, Annual",PET_IMPORTS.OPN_Y-RS_FL-HSO.A
45,"Imports of heavy sour crude oil from OPEC to refineries in Florida, Monthly",PET_IMPORTS.OPN_Y-RS_FL-HSO.M
46,"Imports of all grades of crude oil from OPEC to refineries in Georgia, Annual",PET_IMPORTS.OPN_Y-RS_GA-ALL.A
47,"Imports of all grades of crude oil from OPEC to refineries in Georgia, Monthly",PET_IMPORTS.OPN_Y-RS_GA-ALL.M
48,"Imports of heavy sour crude oil from OPEC to refineries in Georgia, Annual",PET_IMPORTS.OPN_Y-RS_GA-HSO.A
49,"Imports of heavy sour crude oil from OPEC to refineries in Georgia, Monthly",PET_IMPORTS.OPN_Y-RS_GA-HSO.M
50,"Imports of all grades of crude oil from OPEC to refineries in Hawaii, Annual",PET_IMPORTS.OPN_Y-RS_HI-ALL.A
51,"Imports of all grades of crude oil from OPEC to refineries in Hawaii, Monthly",PET_IMPORTS.OPN_Y-RS_HI-ALL.M
52,"Imports of heavy sour crude oil from OPEC to refineries in Hawaii, Annual",PET_IMPORTS.OPN_Y-RS_HI-HSO.A
53,"Imports of heavy sour crude oil from OPEC to refineries in Hawaii, Monthly",PET_IMPORTS.OPN_Y-RS_HI-HSO.M
54,"Imports of heavy sweet crude oil from OPEC to refineries in Hawaii, Annual",PET_IMPORTS.OPN_Y-RS_HI-HSW.A
55,"Imports of heavy sweet crude oil from OPEC to refineries in Hawaii, Monthly",PET_IMPORTS.OPN_Y-RS_HI-HSW.M
56,"Imports of light sour crude oil from OPEC to refineries in Hawaii, Annual",PET_IMPORTS.OPN_Y-RS_HI-LSO.A
57,"Imports of light sour crude oil from OPEC to refineries in Hawaii, Monthly",PET_IMPORTS.OPN_Y-RS_HI-LSO.M
58,"Imports of light sweet crude oil from OPEC to refineries in Hawaii, Annual",PET_IMPORTS.OPN_Y-RS_HI-LSW.A
59,"Imports of light sweet crude oil from OPEC to refineries in Hawaii, Monthly",PET_IMPORTS.OPN_Y-RS_HI-LSW.M
60,"Imports of medium crude oil from OPEC to refineries in Hawaii, Annual",PET_IMPORTS.OPN_Y-RS_HI-MED.A
61,"Imports of medium crude oil from OPEC to refineries in Hawaii, Monthly",PET_IMPORTS.OPN_Y-RS_HI-MED.M
62,"Imports of all grades of crude oil from OPEC to refineries in Illinois, Annual",PET_IMPORTS.OPN_Y-RS_IL-ALL.A
63,"Imports of all grades of crude oil from OPEC to refineries in Illinois, Monthly",PET_IMPORTS.OPN_Y-RS_IL-ALL.M
64,"Imports of heavy sour crude oil from OPEC to refineries in Illinois, Annual",PET_IMPORTS.OPN_Y-RS_IL-HSO.A
65,"Imports of heavy sour crude oil from OPEC to refineries in Illinois, Monthly",PET_IMPORTS.OPN_Y-RS_IL-HSO.M
66,"Imports of light sour crude oil from OPEC to refineries in Illinois, Annual",PET_IMPORTS.OPN_Y-RS_IL-LSO.A
67,"Imports of light sour crude oil from OPEC to refineries in Illinois, Monthly",PET_IMPORTS.OPN_Y-RS_IL-LSO.M
68,"Imports of light sweet crude oil from OPEC to refineries in Illinois, Annual",PET_IMPORTS.OPN_Y-RS_IL-LSW.A
69,"Imports of light sweet crude oil from OPEC to refineries in Illinois, Monthly",PET_IMPORTS.OPN_Y-RS_IL-LSW.M
70,"Imports of medium crude oil from OPEC to refineries in Illinois, Annual",PET_IMPORTS.OPN_Y-RS_IL-MED.A
71,"Imports of medium crude oil from OPEC to refineries in Illinois, Monthly",PET_IMPORTS.OPN_Y-RS_IL-MED.M
72,"Imports of all grades of crude oil from OPEC to refineries in Kentucky, Annual",PET_IMPORTS.OPN_Y-RS_KY-ALL.A
73,"Imports of all grades of crude oil from OPEC to refineries in Kentucky, Monthly",PET_IMPORTS.OPN_Y-RS_KY-ALL.M
74,"Imports of heavy sour crude oil from OPEC to refineries in Kentucky, Annual",PET_IMPORTS.OPN_Y-RS_KY-HSO.A
75,"Imports of heavy sour crude oil from OPEC to refineries in Kentucky, Monthly",PET_IMPORTS.OPN_Y-RS_KY-HSO.M
76,"Imports of light sour crude oil from OPEC to refineries in Kentucky, Annual",PET_IMPORTS.OPN_Y-RS_KY-LSO.A
77,"Imports of light sour crude oil from OPEC to refineries in Kentucky, Monthly",PET_IMPORTS.OPN_Y-RS_KY-LSO.M
78,"Imports of light sweet crude oil from OPEC to refineries in Kentucky, Annual",PET_IMPORTS.OPN_Y-RS_KY-LSW.A
79,"Imports of light sweet crude oil from OPEC to refineries in Kentucky, Monthly",PET_IMPORTS.OPN_Y-RS_KY-LSW.M
80,"Imports of medium crude oil from OPEC to refineries in Kentucky, Annual",PET_IMPORTS.OPN_Y-RS_KY-MED.A
81,"Imports of medium crude oil from OPEC to refineries in Kentucky, Monthly",PET_IMPORTS.OPN_Y-RS_KY-MED.M
82,"Imports of all grades of crude oil from OPEC to refineries in Louisiana, Annual",PET_IMPORTS.OPN_Y-RS_LA-ALL.A
83,"Imports of all grades of crude oil from OPEC to refineries in Louisiana, Monthly",PET_IMPORTS.OPN_Y-RS_LA-ALL.M
84,"Imports of heavy sour crude oil from OPEC to refineries in Louisiana, Annual",PET_IMPORTS.OPN_Y-RS_LA-HSO.A
85,"Imports of heavy sour crude oil from OPEC to refineries in Louisiana, Monthly",PET_IMPORTS.OPN_Y-RS_LA-HSO.M
86,"Imports of heavy sweet crude oil from OPEC to refineries in Louisiana, Annual",PET_IMPORTS.OPN_Y-RS_LA-HSW.A
87,"Imports of heavy sweet crude oil from OPEC to refineries in Louisiana, Monthly",PET_IMPORTS.OPN_Y-RS_LA-HSW.M
88,"Imports of light sour crude oil from OPEC to refineries in Louisiana, Annual",PET_IMPORTS.OPN_Y-RS_LA-LSO.A
89,"Imports of light sour crude oil from OPEC to refineries in Louisiana, Monthly",PET_IMPORTS.OPN_Y-RS_LA-LSO.M
90,"Imports of light sweet crude oil from OPEC to refineries in Louisiana, Annual",PET_IMPORTS.OPN_Y-RS_LA-LSW.A
91,"Imports of light sweet crude oil from OPEC to refineries in Louisiana, Monthly",PET_IMPORTS.OPN_Y-RS_LA-LSW.M
92,"Imports of medium crude oil from OPEC to refineries in Louisiana, Annual",PET_IMPORTS.OPN_Y-RS_LA-MED.A
93,"Imports of medium crude oil from OPEC to refineries in Louisiana, Monthly",PET_IMPORTS.OPN_Y-RS_LA-MED.M
94,"Imports of all grades of crude oil from OPEC to refineries in Massachusetts, Annual",PET_IMPORTS.OPN_Y-RS_MA-ALL.A
95,"Imports of all grades of crude oil from OPEC to refineries in Massachusetts, Monthly",PET_IMPORTS.OPN_Y-RS_MA-ALL.M
96,"Imports of heavy sour crude oil from OPEC to refineries in Massachusetts, Annual",PET_IMPORTS.OPN_Y-RS_MA-HSO.A
97,"Imports of heavy sour crude oil from OPEC to refineries in Massachusetts, Monthly",PET_IMPORTS.OPN_Y-RS_MA-HSO.M
98,"Imports of all grades of crude oil from OPEC to refineries in Maryland, Annual",PET_IMPORTS.OPN_Y-RS_MD-ALL.A
99,"Imports of all grades of crude oil from OPEC to refineries in Maryland, Monthly",PET_IMPORTS.OPN_Y-RS_MD-ALL.M
100,"Imports of heavy sweet crude oil from OPEC to refineries in Maryland, Annual",PET_IMPORTS.OPN_Y-RS_MD-HSW.A
101,"Imports of heavy sweet crude oil from OPEC to refineries in Maryland, Monthly",PET_IMPORTS.OPN_Y-RS_MD-HSW.M
102,"Imports of all grades of crude oil from OPEC to refineries in Michigan, Annual",PET_IMPORTS.OPN_Y-RS_MI-ALL.A
103,"Imports of all grades of crude oil from OPEC to refineries in Michigan, Monthly",PET_IMPORTS.OPN_Y-RS_MI-ALL.M
104,"Imports of heavy sour crude oil from OPEC to refineries in Michigan, Annual",PET_IMPORTS.OPN_Y-RS_MI-HSO.A
105,"Imports of heavy sour crude oil from OPEC to refineries in Michigan, Monthly",PET_IMPORTS.OPN_Y-RS_MI-HSO.M
106,"Imports of light sour crude oil from OPEC to refineries in Michigan, Annual",PET_IMPORTS.OPN_Y-RS_MI-LSO.A
107,"Imports of light sour crude oil from OPEC to refineries in Michigan, Monthly",PET_IMPORTS.OPN_Y-RS_MI-LSO.M
108,"Imports of medium crude oil from OPEC to refineries in Michigan, Annual",PET_IMPORTS.OPN_Y-RS_MI-MED.A
109,"Imports of medium crude oil from OPEC to refineries in Michigan, Monthly",PET_IMPORTS.OPN_Y-RS_MI-MED.M
110,"Imports of all grades of crude oil from OPEC to refineries in Minnesota, Annual",PET_IMPORTS.OPN_Y-RS_MN-ALL.A
111,"Imports of all grades of crude oil from OPEC to refineries in Minnesota, Monthly",PET_IMPORTS.OPN_Y-RS_MN-ALL.M
112,"Imports of heavy sour crude oil from OPEC to refineries in Minnesota, Annual",PET_IMPORTS.OPN_Y-RS_MN-HSO.A
113,"Imports of heavy sour crude oil from OPEC to refineries in Minnesota, Monthly",PET_IMPORTS.OPN_Y-RS_MN-HSO.M
114,"Imports of all grades of crude oil from OPEC to refineries in Mississippi, Annual",PET_IMPORTS.OPN_Y-RS_MS-ALL.A
