,0,1
115,"Imports of all grades of crude oil from OPEC to refineries in Mississippi, Monthly",PET_IMPORTS.OPN_Y-RS_MS-ALL.M
116,"Imports of heavy sour crude oil from OPEC to refineries in Mississippi, Annual",PET_IMPORTS.OPN_Y-RS_MS-HSO.A
117,"Imports of heavy sour crude oil from OPEC to refineries in Mississippi, Monthly",PET_IMPORTS.OPN_Y-RS_MS-HSO.M
118,"Imports of heavy sweet crude oil from OPEC to refineries in Mississippi, Annual",PET_IMPORTS.OPN_Y-RS_MS-HSW.A
119,"Imports of heavy sweet crude oil from OPEC to refineries in Mississippi, Monthly",PET_IMPORTS.OPN_Y-RS_MS-HSW.M
120,"Imports of light sour crude oil from OPEC to refineries in Mississippi, Annual",PET_IMPORTS.OPN_Y-RS_MS-LSO.A
121,"Imports of light sour crude oil from OPEC to refineries in Mississippi, Monthly",PET_IMPORTS.OPN_Y-RS_MS-LSO.M
122,"Imports of light sweet crude oil from OPEC to refineries in Mississippi, Annual",PET_IMPORTS.OPN_Y-RS_MS-LSW.A
123,"Imports of light sweet crude oil from OPEC to refineries in Mississippi, Monthly",PET_IMPORTS.OPN_Y-RS_MS-LSW.M
124,"Imports of medium crude oil from OPEC to refineries in Mississippi, Annual",PET_IMPORTS.OPN_Y-RS_MS-MED.A
125,"Imports of medium crude oil from OPEC to refineries in Mississippi, Monthly",PET_IMPORTS.OPN_Y-RS_MS-MED.M
126,"Imports of all grades of crude oil from OPEC to refineries in North Dakota, Annual",PET_IMPORTS.OPN_Y-RS_ND-ALL.A
127,"Imports of all grades of crude oil from OPEC to refineries in North Dakota, Monthly",PET_IMPORTS.OPN_Y-RS_ND-ALL.M
128,"Imports of heavy sour crude oil from OPEC to refineries in North Dakota, Annual",PET_IMPORTS.OPN_Y-RS_ND-HSO.A
129,"Imports of heavy sour crude oil from OPEC to refineries in North Dakota, Monthly",PET_IMPORTS.OPN_Y-RS_ND-HSO.M
130,"Imports of all grades of crude oil from OPEC to refineries in New Jersey, Annual",PET_IMPORTS.OPN_Y-RS_NJ-ALL.A
131,"Imports of all grades of crude oil from OPEC to refineries in New Jersey, Monthly",PET_IMPORTS.OPN_Y-RS_NJ-ALL.M
132,"Imports of heavy sour crude oil from OPEC to refineries in New Jersey, Annual",PET_IMPORTS.OPN_Y-RS_NJ-HSO.A
133,"Imports of heavy sour crude oil from OPEC to refineries in New Jersey, Monthly",PET_IMPORTS.OPN_Y-RS_NJ-HSO.M
134,"Imports of heavy sweet crude oil from OPEC to refineries in New Jersey, Annual",PET_IMPORTS.OPN_Y-RS_NJ-HSW.A
135,"Imports of heavy sweet crude oil from OPEC to refineries in New Jersey, Monthly",PET_IMPORTS.OPN_Y-RS_NJ-HSW.M
136,"Imports of light sour crude oil from OPEC to refineries in New Jersey, Annual",PET_IMPORTS.OPN_Y-RS_NJ-LSO.A
137,"Imports of light sour crude oil from OPEC to refineries in New Jersey, Monthly",PET_IMPORTS.OPN_Y-RS_NJ-LSO.M
138,"Imports of light sweet crude oil from OPEC to refineries in New Jersey, Annual",PET_IMPORTS.OPN_Y-RS_NJ-LSW.A
139,"Imports of light sweet crude oil from OPEC to refineries in New Jersey, Monthly",PET_IMPORTS.OPN_Y-RS_NJ-LSW.M
140,"Imports of medium crude oil from OPEC to refineries in New Jersey, Annual",PET_IMPORTS.OPN_Y-RS_NJ-MED.A
141,"Imports of medium crude oil from OPEC to refineries in New Jersey, Monthly",PET_IMPORTS.OPN_Y-RS_NJ-MED.M
142,"Imports of all grades of crude oil from OPEC to refineries in New York, Annual",PET_IMPORTS.OPN_Y-RS_NY-ALL.A
143,"Imports of all grades of crude oil from OPEC to refineries in New York, Monthly",PET_IMPORTS.OPN_Y-RS_NY-ALL.M
144,"Imports of heavy sweet crude oil from OPEC to refineries in New York, Annual",PET_IMPORTS.OPN_Y-RS_NY-HSW.A
145,"Imports of heavy sweet crude oil from OPEC to refineries in New York, Monthly",PET_IMPORTS.OPN_Y-RS_NY-HSW.M
146,"Imports of all grades of crude oil from OPEC to refineries in Ohio, Annual",PET_IMPORTS.OPN_Y-RS_OH-ALL.A
147,"Imports of all grades of crude oil from OPEC to refineries in Ohio, Monthly",PET_IMPORTS.OPN_Y-RS_OH-ALL.M
148,"Imports of light sweet crude oil from OPEC to refineries in Ohio, Annual",PET_IMPORTS.OPN_Y-RS_OH-LSW.A
149,"Imports of light sweet crude oil from OPEC to refineries in Ohio, Monthly",PET_IMPORTS.OPN_Y-RS_OH-LSW.M
150,"Imports of medium crude oil from OPEC to refineries in Ohio, Annual",PET_IMPORTS.OPN_Y-RS_OH-MED.A
151,"Imports of medium crude oil from OPEC to refineries in Ohio, Monthly",PET_IMPORTS.OPN_Y-RS_OH-MED.M
152,"Imports of all grades of crude oil from OPEC to refineries in Oklahoma, Annual",PET_IMPORTS.OPN_Y-RS_OK-ALL.A
153,"Imports of all grades of crude oil from OPEC to refineries in Oklahoma, Monthly",PET_IMPORTS.OPN_Y-RS_OK-ALL.M
154,"Imports of heavy sour crude oil from OPEC to refineries in Oklahoma, Annual",PET_IMPORTS.OPN_Y-RS_OK-HSO.A
155,"Imports of heavy sour crude oil from OPEC to refineries in Oklahoma, Monthly",PET_IMPORTS.OPN_Y-RS_OK-HSO.M
156,"Imports of heavy sweet crude oil from OPEC to refineries in Oklahoma, Annual",PET_IMPORTS.OPN_Y-RS_OK-HSW.A
157,"Imports of heavy sweet crude oil from OPEC to refineries in Oklahoma, Monthly",PET_IMPORTS.OPN_Y-RS_OK-HSW.M
158,"Imports of light sour crude oil from OPEC to refineries in Oklahoma, Annual",PET_IMPORTS.OPN_Y-RS_OK-LSO.A
159,"Imports of light sour crude oil from OPEC to refineries in Oklahoma, Monthly",PET_IMPORTS.OPN_Y-RS_OK-LSO.M
160,"Imports of light sweet crude oil from OPEC to refineries in Oklahoma, Annual",PET_IMPORTS.OPN_Y-RS_OK-LSW.A
161,"Imports of light sweet crude oil from OPEC to refineries in Oklahoma, Monthly",PET_IMPORTS.OPN_Y-RS_OK-LSW.M
162,"Imports of medium crude oil from OPEC to refineries in Oklahoma, Annual",PET_IMPORTS.OPN_Y-RS_OK-MED.A
163,"Imports of medium crude oil from OPEC to refineries in Oklahoma, Monthly",PET_IMPORTS.OPN_Y-RS_OK-MED.M
164,"Imports of all grades of crude oil from OPEC to refineries in Pennsylvania, Annual",PET_IMPORTS.OPN_Y-RS_PA-ALL.A
165,"Imports of all grades of crude oil from OPEC to refineries in Pennsylvania, Monthly",PET_IMPORTS.OPN_Y-RS_PA-ALL.M
166,"Imports of heavy sour crude oil from OPEC to refineries in Pennsylvania, Annual",PET_IMPORTS.OPN_Y-RS_PA-HSO.A
167,"Imports of heavy sour crude oil from OPEC to refineries in Pennsylvania, Monthly",PET_IMPORTS.OPN_Y-RS_PA-HSO.M
168,"Imports of heavy sweet crude oil from OPEC to refineries in Pennsylvania, Annual",PET_IMPORTS.OPN_Y-RS_PA-HSW.A
169,"Imports of heavy sweet crude oil from OPEC to refineries in Pennsylvania, Monthly",PET_IMPORTS.OPN_Y-RS_PA-HSW.M
170,"Imports of light sour crude oil from OPEC to refineries in Pennsylvania, Annual",PET_IMPORTS.OPN_Y-RS_PA-LSO.A
171,"Imports of light sour crude oil from OPEC to refineries in Pennsylvania, Monthly",PET_IMPORTS.OPN_Y-RS_PA-LSO.M
172,"Imports of light sweet crude oil from OPEC to refineries in Pennsylvania, Annual",PET_IMPORTS.OPN_Y-RS_PA-LSW.A
173,"Imports of light sweet crude oil from OPEC to refineries in Pennsylvania, Monthly",PET_IMPORTS.OPN_Y-RS_PA-LSW.M
174,"Imports of medium crude oil from OPEC to refineries in Pennsylvania, Annual",PET_IMPORTS.OPN_Y-RS_PA-MED.A
175,"Imports of medium crude oil from OPEC to refineries in Pennsylvania, Monthly",PET_IMPORTS.OPN_Y-RS_PA-MED.M
176,"Imports of all grades of crude oil from OPEC to refineries in Tennessee, Annual",PET_IMPORTS.OPN_Y-RS_TN-ALL.A
177,"Imports of all grades of crude oil from OPEC to refineries in Tennessee, Monthly",PET_IMPORTS.OPN_Y-RS_TN-ALL.M
178,"Imports of light sweet crude oil from OPEC to refineries in Tennessee, Annual",PET_IMPORTS.OPN_Y-RS_TN-LSW.A
179,"Imports of light sweet crude oil from OPEC to refineries in Tennessee, Monthly",PET_IMPORTS.OPN_Y-RS_TN-LSW.M
180,"Imports of all grades of crude oil from OPEC to refineries in Texas, Annual",PET_IMPORTS.OPN_Y-RS_TX-ALL.A
181,"Imports of all grades of crude oil from OPEC to refineries in Texas, Monthly",PET_IMPORTS.OPN_Y-RS_TX-ALL.M
182,"Imports of heavy sour crude oil from OPEC to refineries in Texas, Annual",PET_IMPORTS.OPN_Y-RS_TX-HSO.A
183,"Imports of heavy sour crude oil from OPEC to refineries in Texas, Monthly",PET_IMPORTS.OPN_Y-RS_TX-HSO.M
184,"Imports of heavy sweet crude oil from OPEC to refineries in Texas, Annual",PET_IMPORTS.OPN_Y-RS_TX-HSW.A
185,"Imports of heavy sweet crude oil from OPEC to refineries in Texas, Monthly",PET_IMPORTS.OPN_Y-RS_TX-HSW.M
186,"Imports of light sour crude oil from OPEC to refineries in Texas, Annual",PET_IMPORTS.OPN_Y-RS_TX-LSO.A
187,"Imports of light sour crude oil from OPEC to refineries in Texas, Monthly",PET_IMPORTS.OPN_Y-RS_TX-LSO.M
188,"Imports of light sweet crude oil from OPEC to refineries in Texas, Annual",PET_IMPORTS.OPN_Y-RS_TX-LSW.A
189,"Imports of light sweet crude oil from OPEC to refineries in Texas, Monthly",PET_IMPORTS.OPN_Y-RS_TX-LSW.M
190,"Imports of medium crude oil from OPEC to refineries in Texas, Annual",PET_IMPORTS.OPN_Y-RS_TX-MED.A
191,"Imports of medium crude oil from OPEC to refineries in Texas, Monthly",PET_IMPORTS.OPN_Y-RS_TX-MED.M
192,"Imports of all grades of crude oil from OPEC to refineries in Utah, Monthly",PET_IMPORTS.OPN_Y-RS_UT-ALL.M
193,"Imports of medium crude oil from OPEC to refineries in Utah, Monthly",PET_IMPORTS.OPN_Y-RS_UT-MED.M
194,"Imports of all grades of crude oil from OPEC to refineries in Virginia, Annual",PET_IMPORTS.OPN_Y-RS_VA-ALL.A
195,"Imports of all grades of crude oil from OPEC to refineries in Virginia, Monthly",PET_IMPORTS.OPN_Y-RS_VA-ALL.M
196,"Imports of light sour crude oil from OPEC to refineries in Virginia, Annual",PET_IMPORTS.OPN_Y-RS_VA-LSO.A
197,"Imports of light sour crude oil from OPEC to refineries in Virginia, Monthly",PET_IMPORTS.OPN_Y-RS_VA-LSO.M
198,"Imports of light sweet crude oil from OPEC to refineries in Virginia, Annual",PET_IMPORTS.OPN_Y-RS_VA-LSW.A
199,"Imports of light sweet crude oil from OPEC to refineries in Virginia, Monthly",PET_IMPORTS.OPN_Y-RS_VA-LSW.M
200,"Imports of medium crude oil from OPEC to refineries in Virginia, Annual",PET_IMPORTS.OPN_Y-RS_VA-MED.A
201,"Imports of medium crude oil from OPEC to refineries in Virginia, Monthly",PET_IMPORTS.OPN_Y-RS_VA-MED.M
202,"Imports of all grades of crude oil from OPEC to refineries in Virgin Islands, Annual",PET_IMPORTS.OPN_Y-RS_VI-ALL.A
203,"Imports of all grades of crude oil from OPEC to refineries in Virgin Islands, Monthly",PET_IMPORTS.OPN_Y-RS_VI-ALL.M
204,"Imports of heavy sour crude oil from OPEC to refineries in Virgin Islands, Annual",PET_IMPORTS.OPN_Y-RS_VI-HSO.A
205,"Imports of heavy sour crude oil from OPEC to refineries in Virgin Islands, Monthly",PET_IMPORTS.OPN_Y-RS_VI-HSO.M
206,"Imports of light sour crude oil from OPEC to refineries in Virgin Islands, Annual",PET_IMPORTS.OPN_Y-RS_VI-LSO.A
207,"Imports of light sour crude oil from OPEC to refineries in Virgin Islands, Monthly",PET_IMPORTS.OPN_Y-RS_VI-LSO.M
208,"Imports of light sweet crude oil from OPEC to refineries in Virgin Islands, Annual",PET_IMPORTS.OPN_Y-RS_VI-LSW.A
209,"Imports of light sweet crude oil from OPEC to refineries in Virgin Islands, Monthly",PET_IMPORTS.OPN_Y-RS_VI-LSW.M
210,"Imports of medium crude oil from OPEC to refineries in Virgin Islands, Annual",PET_IMPORTS.OPN_Y-RS_VI-MED.A
211,"Imports of medium crude oil from OPEC to refineries in Virgin Islands, Monthly",PET_IMPORTS.OPN_Y-RS_VI-MED.M
212,"Imports of all grades of crude oil from OPEC to refineries in Washington, Annual",PET_IMPORTS.OPN_Y-RS_WA-ALL.A
213,"Imports of all grades of crude oil from OPEC to refineries in Washington, Monthly",PET_IMPORTS.OPN_Y-RS_WA-ALL.M
214,"Imports of heavy sour crude oil from OPEC to refineries in Washington, Annual",PET_IMPORTS.OPN_Y-RS_WA-HSO.A
215,"Imports of heavy sour crude oil from OPEC to refineries in Washington, Monthly",PET_IMPORTS.OPN_Y-RS_WA-HSO.M
216,"Imports of heavy sweet crude oil from OPEC to refineries in Washington, Annual",PET_IMPORTS.OPN_Y-RS_WA-HSW.A
217,"Imports of heavy sweet crude oil from OPEC to refineries in Washington, Monthly",PET_IMPORTS.OPN_Y-RS_WA-HSW.M
218,"Imports of light sour crude oil from OPEC to refineries in Washington, Annual",PET_IMPORTS.OPN_Y-RS_WA-LSO.A
219,"Imports of light sour crude oil from OPEC to refineries in Washington, Monthly",PET_IMPORTS.OPN_Y-RS_WA-LSO.M
220,"Imports of light sweet crude oil from OPEC to refineries in Washington, Annual",PET_IMPORTS.OPN_Y-RS_WA-LSW.A
221,"Imports of light sweet crude oil from OPEC to refineries in Washington, Monthly",PET_IMPORTS.OPN_Y-RS_WA-LSW.M
222,"Imports of medium crude oil from OPEC to refineries in Washington, Annual",PET_IMPORTS.OPN_Y-RS_WA-MED.A
223,"Imports of medium crude oil from OPEC to refineries in Washington, Monthly",PET_IMPORTS.OPN_Y-RS_WA-MED.M
224,"Imports of all grades of crude oil from OPEC to refineries in Unkown State, Monthly",PET_IMPORTS.OPN_Y-RS_XX-ALL.M
225,"Imports of heavy sour crude oil from OPEC to refineries in Unkown State, Monthly",PET_IMPORTS.OPN_Y-RS_XX-HSO.M
226,"Imports of light sour crude oil from OPEC to refineries in Unkown State, Monthly",PET_IMPORTS.OPN_Y-RS_XX-LSO.M
227,"Imports of light sweet crude oil from OPEC to refineries in Unkown State, Monthly",PET_IMPORTS.OPN_Y-RS_XX-LSW.M
228,"Imports of medium crude oil from OPEC to refineries in Unkown State, Monthly",PET_IMPORTS.OPN_Y-RS_XX-MED.M
